event_id,robot_id,mission_id,severity,code,kind,observed_at,received_at,provenance,zone,status,health_state,action,speed_ratio,reason
f18ee05249144887b9abb3994451fc37,robot-charlie,run-1785073909711-c8dcb141-m1-robot-charlie,critical,,safety_decision,2026-07-26T13:51:57.355Z,2026-07-26T13:51:57.356Z,SIMULATED,C2,SAFE_STOPPED,UNSAFE,SAFE_STOP,0.0,manual resume required after a safe stop
380edfdbf3cd4fb08d75f38455f82aac,robot-charlie,run-1785073909711-c8dcb141-m1-robot-charlie,critical,,safety_decision,2026-07-26T13:51:57.292Z,2026-07-26T13:51:57.294Z,SIMULATED,C2,SAFE_STOPPED,UNSAFE,SAFE_STOP,0.0,manual resume required after a safe stop
10a0f9d82563458782a6daf316411b62,robot-charlie,run-1785073909711-c8dcb141-m1-robot-charlie,critical,,safety_decision,2026-07-26T13:51:57.232Z,2026-07-26T13:51:57.235Z,SIMULATED,C2,SAFE_STOPPED,UNSAFE,SAFE_STOP,0.0,manual resume required after a safe stop
42fe7f34599f4875adba038919e42706,robot-charlie,run-1785073909711-c8dcb141-m1-robot-charlie,critical,,safety_decision,2026-07-26T13:51:57.106Z,2026-07-26T13:51:57.106Z,SIMULATED,C2,SAFE_STOPPED,UNSAFE,SAFE_STOP,0.0,manual resume required after a safe stop
6c2f425fa8a1484fa6b86347fe25c209,robot-bravo,run-1785073909711-c8dcb141-m1-robot-bravo,critical,,safety_decision,2026-07-26T13:51:57.075Z,2026-07-26T13:51:57.076Z,SIMULATED,C2,SAFE_STOPPED,HEALTHY,SAFE_STOP,0.0,manual resume required after a safe stop
c053004f2e6047e0a6c4d7a8b85f9925,robot-bravo,run-1785073909711-c8dcb141-m1-robot-bravo,critical,,safety_decision,2026-07-26T13:51:57.016Z,2026-07-26T13:51:57.017Z,SIMULATED,C2,SAFE_STOPPED,HEALTHY,SAFE_STOP,0.0,manual resume required after a safe stop
989d1b7b4c3d4152aad4c6846cc68f36,robot-charlie,run-1785073909711-c8dcb141-m1-robot-charlie,critical,,safety_decision,2026-07-26T13:51:56.984Z,2026-07-26T13:51:56.985Z,SIMULATED,C2,SAFE_STOPPED,UNSAFE,SAFE_STOP,0.0,manual resume required after a safe stop
ef8f0bb55d684558b262dc7efda91c3a,robot-bravo,run-1785073909711-c8dcb141-m1-robot-bravo,critical,,safety_decision,2026-07-26T13:51:56.954Z,2026-07-26T13:51:56.955Z,SIMULATED,C2,SAFE_STOPPED,HEALTHY,SAFE_STOP,0.0,manual resume required after a safe stop
71105911d8424ea48bd0af0830dfa060,robot-charlie,run-1785073909711-c8dcb141-m1-robot-charlie,critical,,safety_decision,2026-07-26T13:51:56.923Z,2026-07-26T13:51:56.924Z,SIMULATED,B2,SAFE_STOPPED,UNSAFE,SAFE_STOP,0.0,manual resume required after a safe stop
683cb3aa75ae463fa57a83e76a87eb7a,robot-bravo,run-1785073909711-c8dcb141-m1-robot-bravo,critical,,safety_decision,2026-07-26T13:51:56.892Z,2026-07-26T13:51:56.893Z,SIMULATED,C2,SAFE_STOPPED,HEALTHY,SAFE_STOP,0.0,manual resume required after a safe stop
1769e5a105064bb08e8203ac0ede62bd,robot-charlie,run-1785073909711-c8dcb141-m1-robot-charlie,critical,,safety_decision,2026-07-26T13:51:56.861Z,2026-07-26T13:51:56.862Z,SIMULATED,B2,SAFE_STOPPED,UNSAFE,SAFE_STOP,0.0,manual resume required after a safe stop
529657be0fd14f2fa5d9c9956e48e630,robot-bravo,run-1785073909711-c8dcb141-m1-robot-bravo,critical,,safety_decision,2026-07-26T13:51:56.829Z,2026-07-26T13:51:56.830Z,SIMULATED,C2,SAFE_STOPPED,HEALTHY,SAFE_STOP,0.0,manual resume required after a safe stop
b6a373c0a5a6414ca6275a84101840d3,robot-bravo,run-1785073909711-c8dcb141-m1-robot-bravo,critical,,safety_decision,2026-07-26T13:51:56.768Z,2026-07-26T13:51:56.769Z,SIMULATED,C2,SAFE_STOPPED,HEALTHY,SAFE_STOP,0.0,manual resume required after a safe stop
bd63eb91337b49d8909a6aaa7bb8b36d,robot-charlie,run-1785073909711-c8dcb141-m1-robot-charlie,critical,,safety_decision,2026-07-26T13:51:56.738Z,2026-07-26T13:51:56.741Z,SIMULATED,B2,SAFE_STOPPED,UNSAFE,SAFE_STOP,0.0,manual resume required after a safe stop
203bab3e59954949bad61b62835d4c81,robot-bravo,run-1785073909711-c8dcb141-m1-robot-bravo,critical,,safety_decision,2026-07-26T13:51:56.706Z,2026-07-26T13:51:56.707Z,SIMULATED,B2,SAFE_STOPPED,HEALTHY,SAFE_STOP,0.0,manual resume required after a safe stop
34ad8e45e43143f097f7cad2646e3520,robot-bravo,run-1785073909711-c8dcb141-m1-robot-bravo,critical,,safety_decision,2026-07-26T13:51:56.645Z,2026-07-26T13:51:56.647Z,SIMULATED,B2,SAFE_STOPPED,HEALTHY,SAFE_STOP,0.0,manual resume required after a safe stop
66f18d29c0c043ccb680825b5a6020f5,robot-charlie,run-1785073909711-c8dcb141-m1-robot-charlie,critical,,safety_decision,2026-07-26T13:51:55.989Z,2026-07-26T13:51:55.991Z,SIMULATED,A1,SAFE_STOPPED,UNSAFE,SAFE_STOP,0.0,manual resume required after a safe stop
2ed5723c85d942608f4c1af321f6de14,robot-charlie,run-1785073909711-c8dcb141-m1-robot-charlie,critical,,safety_decision,2026-07-26T13:51:55.865Z,2026-07-26T13:51:55.866Z,SIMULATED,A1,SAFE_STOPPED,UNSAFE,SAFE_STOP,0.0,manual resume required after a safe stop
6e5d8a497fe0490ab35003ae67a4ce78,robot-charlie,run-1785073909711-c8dcb141-m1-robot-charlie,critical,,safety_decision,2026-07-26T13:51:55.801Z,2026-07-26T13:51:55.804Z,SIMULATED,A1,SAFE_STOPPED,UNSAFE,SAFE_STOP,0.0,manual resume required after a safe stop
429a8e7629aa42b1923fe8fc6d1caf88,robot-charlie,run-1785073909711-c8dcb141-m1-robot-charlie,critical,,safety_decision,2026-07-26T13:51:55.739Z,2026-07-26T13:51:55.740Z,SIMULATED,A1,SAFE_STOPPED,UNSAFE,SAFE_STOP,0.0,sensor health is UNSAFE: bmi270.accelY is not finite: nan
534d154d37f04023964497ca4c8c6331,robot-charlie,run-1785069964682-324092b9-m1-robot-charlie,critical,,safety_decision,2026-07-26T12:46:13.015Z,2026-07-26T12:46:13.016Z,SIMULATED,C2,SAFE_STOPPED,UNSAFE,SAFE_STOP,0.0,manual resume required after a safe stop
398a04201d534f2ca887813f0e53bc83,robot-charlie,run-1785069964682-324092b9-m1-robot-charlie,critical,,safety_decision,2026-07-26T12:46:12.955Z,2026-07-26T12:46:12.956Z,SIMULATED,C2,SAFE_STOPPED,UNSAFE,SAFE_STOP,0.0,manual resume required after a safe stop
cb2c41b7dc9a41bc86a3e847821c6a42,robot-charlie,run-1785069964682-324092b9-m1-robot-charlie,critical,,safety_decision,2026-07-26T12:46:12.892Z,2026-07-26T12:46:12.893Z,SIMULATED,C2,SAFE_STOPPED,UNSAFE,SAFE_STOP,0.0,manual resume required after a safe stop
